epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5339019298553467,7.399393558502197,0.001,0.556506872177124,3.755706787109375
1,0.5680170655250549,2.946004629135132,0.001,0.5547945499420166,2.543168306350708
2,0.5889126062393188,2.2298378944396973,0.001,0.5308219194412231,2.0793447494506836
3,0.5906183123588562,1.9518296718597412,0.001,0.5582191944122314,1.9559296369552612
4,0.5795308947563171,1.7729003429412842,0.001,0.49657535552978516,1.859832525253296
5,0.5957356095314026,1.6615982055664062,1e-04,0.5616438388824463,1.6419463157653809
6,0.6025586128234863,1.5791808366775513,1e-04,0.5753424763679504,1.5984368324279785
7,0.611940324306488,1.5224040746688843,1e-04,0.6284246444702148,1.4661911725997925
8,0.630277156829834,1.475148320198059,1e-04,0.6352739930152893,1.4408628940582275
9,0.6345415711402893,1.449165940284729,1e-04,0.6626712083816528,1.392432689666748
0,0.5236673951148987,6.736897945404053,0.001,0.2876712381839752,3.672302722930908
1,0.5727078914642334,2.628972053527832,0.001,0.5650684833526611,2.1974267959594727
2,0.5867803692817688,2.0352323055267334,0.001,0.6267123222351074,1.9016989469528198
3,0.5876332521438599,1.8116140365600586,0.001,0.49657535552978516,1.7456655502319336
4,0.5957356095314026,1.6965126991271973,0.001,0.5616438388824463,1.7723010778427124
5,0.6285714507102966,1.571439504623413,1e-04,0.6541095972061157,1.5447605848312378
6,0.6494669318199158,1.4564175605773926,1e-04,0.676369845867157,1.4384896755218506
7,0.6533048748970032,1.4044157266616821,1e-04,0.664383590221405,1.383163571357727
8,0.6575692892074585,1.3390918970108032,1e-04,0.659246563911438,1.3536698818206787
9,0.6618337035179138,1.3300925493240356,1e-04,0.6883561611175537,1.2804440259933472
10,0.6754797697067261,1.2907748222351074,1e-04,0.6883561611175537,1.2486402988433838
11,0.664392352104187,1.2719037532806396,1e-04,0.6849315166473389,1.2379755973815918
12,0.674626886844635,1.2511097192764282,1e-04,0.676369845867157,1.2311608791351318
13,0.6801705956459045,1.2297463417053223,1e-04,0.6780821681022644,1.1889365911483765
14,0.6793177127838135,1.227189064025879,1e-04,0.676369845867157,1.2315623760223389
15,0.6763325929641724,1.2153199911117554,1e-04,0.6866438388824463,1.1697938442230225
16,0.6823027729988098,1.1922615766525269,1e-04,0.6917808055877686,1.1665807962417603
17,0.6840085387229919,1.1822839975357056,1e-04,0.676369845867157,1.1551803350448608
18,0.6793177127838135,1.183182716369629,1e-04,0.6866438388824463,1.1284493207931519
19,0.6754797697067261,1.1808680295944214,1e-04,0.6883561611175537,1.1254738569259644
20,0.6942430734634399,1.1345579624176025,1e-05,0.6917808055877686,1.1254535913467407
21,0.6878464818000793,1.137385368347168,1e-05,0.6952054500579834,1.1066757440567017
22,0.6955223679542542,1.126298427581787,1e-05,0.7054794430732727,1.115166187286377
23,0.6963752508163452,1.1212443113327026,1e-05,0.6952054500579834,1.1139330863952637
24,0.6972281336784363,1.119073748588562,1e-05,0.6952054500579834,1.1146334409713745
25,0.695095956325531,1.1208393573760986,1e-05,0.698630154132843,1.100862741470337
26,0.6955223679542542,1.1142137050628662,1e-05,0.693493127822876,1.1072595119476318
27,0.6946694850921631,1.1072900295257568,1e-05,0.7071917653083801,1.0860596895217896
28,0.6963752508163452,1.1104216575622559,1e-05,0.7020547986030579,1.0932377576828003
29,0.7014925479888916,1.1135022640228271,1e-05,0.6917808055877686,1.114495873451233
30,0.6959488391876221,1.106759786605835,1e-05,0.6952054500579834,1.0925014019012451
31,0.7006396651268005,1.109306812286377,1e-05,0.7054794430732727,1.0854264497756958
32,0.7010660767555237,1.1032158136367798,1e-05,0.7020547986030579,1.0849919319152832
33,0.6972281336784363,1.1039516925811768,1e-05,0.7020547986030579,1.0749256610870361
34,0.6989338994026184,1.0910406112670898,1e-05,0.6900684833526611,1.101735234260559
35,0.7040511965751648,1.0907129049301147,1e-05,0.6917808055877686,1.1041773557662964
36,0.7023454308509827,1.0909252166748047,1e-05,0.698630154132843,1.0817023515701294
37,0.6980810165405273,1.0994478464126587,1e-05,0.6969178318977356,1.0775010585784912
38,0.6925373077392578,1.0980523824691772,1e-05,0.7071917653083801,1.0933935642242432
39,0.6980810165405273,1.0879970788955688,1e-05,0.6917808055877686,1.0778510570526123
40,0.705330491065979,1.083956241607666,1e-05,0.6952054500579834,1.0799195766448975
41,0.7031983137130737,1.0825719833374023,1e-05,0.7089040875434875,1.0576210021972656
42,0.6997867822647095,1.0836772918701172,1e-05,0.6866438388824463,1.0770182609558105
43,0.6993603706359863,1.0807209014892578,1e-05,0.7054794430732727,1.0647549629211426
44,0.6946694850921631,1.088709831237793,1e-05,0.7191780805587769,1.0610196590423584
45,0.6997867822647095,1.078405737876892,1e-05,0.7071917653083801,1.0600552558898926
46,0.7014925479888916,1.0733519792556763,1e-05,0.693493127822876,1.0720025300979614
47,0.7074626684188843,1.0690292119979858,1e-05,0.7037671208381653,1.058340311050415
48,0.7014925479888916,1.0792534351348877,1e-05,0.7003424763679504,1.063002109527588
49,0.7087420225143433,1.0620137453079224,1e-05,0.7089040875434875,1.0592211484909058
